,NK cell,B cell,Pneumocyte,T cell,Monocyte,Endothelial cell,Alveolar macrophage,Myeloid cell,Leukocyte,Multiciliated cell,Stromal cell
NK cell,1.0,0.18178365481458642,0.012863152223297314,0.3872734240868742,0.1826881619531182,0.13481767133623992,0.06019444021446218,0.13971503768334875,0.07632722690312727,0.018663090751446156,0.021924323836511626
B cell,0.18178365481458642,1.0,0.03355986365270463,0.370727664334666,0.1423358450763735,0.07622093205167473,0.0834153798224804,0.12898316811094276,0.015205310310897833,0.1933807593266888,0.01412985998610309
Pneumocyte,0.012863152223297314,0.03355986365270463,1.0,0.0215094568001652,0.0603851295360404,0.13899498370043986,0.1175636187696161,0.06569046150122526,0.03390921420462804,0.04633647259362144,0.18357708123506442
T cell,0.3872734240868742,0.370727664334666,0.0215094568001652,1.0,0.23072576917876883,0.07524516670826334,0.08725512070966089,0.16305755865837396,0.032527122945927044,0.052334872410852995,0.016087218347832135
Monocyte,0.1826881619531182,0.1423358450763735,0.0603851295360404,0.23072576917876883,1.0,0.13572849030260306,0.2176189442180422,0.32871713731906177,0.28526555560729466,0.03419761679837175,0.24183503984403415
Endothelial cell,0.13481767133623992,0.07622093205167473,0.13899498370043986,0.07524516670826334,0.13572849030260306,1.0,0.025317789949793376,0.1579615128994843,0.31920691168890986,0.013195646769186394,0.0666843073165224
Alveolar macrophage,0.06019444021446218,0.0834153798224804,0.1175636187696161,0.08725512070966089,0.2176189442180422,0.025317789949793376,1.0,0.11899668902290608,0.02292118444665467,0.22458329472212055,0.06811341836396484
Dendritic cell,0.17229223255659726,0.2092110597659032,0.049392474275387656,0.2830100713228567,0.5924559726257034,0.06299705435891587,0.43359701420416996,0.19475043130910163,0.16900728220393144,0.020260582321760427,0.14327661374577297
Unknown,0.07727222393664168,0.2234216264442768,0.2071471070160725,0.15105989363231165,0.14399956370925038,0.3083410163251887,0.09585369171844237,0.0,0.0,0.0,0.0
Hematopoietic progenitor,0.06139202123451705,0.0923761732993429,0.07582550204230881,0.10540252036385106,0.21320827237788056,0.05905432052999133,0.34666487780654615,0.0,0.0,0.0,0.0
Macrophage,0.1633899521927272,0.2808724564942288,0.07507089554074345,0.30325386815348493,0.4338177683518685,0.10328685899573745,0.2728867369368194,0.0,0.0,0.0,0.0
Collision,0.20833143475177754,0.5080535102608061,0.07651356995531845,0.40810610473819503,0.32623403612486584,0.14673746140921592,0.15217809790824136,0.06553035132332415,0.0077251112780564735,0.09824777359282437,0.00717872496543338
